rank,config_id,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,eligible_topics,converged_topics,macro_precision,macro_recall,macro_f1,macro_hit_at_1,macro_hit_at_3,macro_hit_at_5,mean_density,mean_isolated_ratio,mean_average_degree,mean_connected_components,mean_redundancy,max_redundancy,mean_word_count,mean_budget_utilization,mean_pagerank_iterations,mean_runtime_seconds
1,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.02,0.85,1e-08,1000,100,True,0.7,34,50,0.15749299719887955,0.05742186431610034,0.08281251110511245,0.2647058823529412,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08429628988854328,1.0,99.82,0.9982,39.64,0.10069888329999976
2,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.50,0.02,0.85,1e-08,1000,100,True,0.5,34,50,0.15287114845938377,0.055911487438076404,0.07996349973947703,0.20588235294117646,0.4117647058823529,0.5588235294117647,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.05089323023743947,0.7071067811865475,99.9,0.9990000000000001,39.64,0.09833982586000012
3,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.90,0.02,0.85,1e-08,1000,100,True,0.9,34,50,0.136027616174675,0.05190845231479907,0.07379368080240258,0.3235294117647059,0.4117647058823529,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.1251306096381337,1.0000000000000002,99.9,0.9990000000000001,39.64,0.10231289503999974
4,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=off,0.02,0.85,1e-08,1000,100,False,,34,50,0.13496838129191072,0.05153771578489298,0.0733268273943727,0.3235294117647059,0.4411764705882353,0.5588235294117647,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.13896405458928585,1.0000000000000002,99.92,0.9992,39.64,0.10010883586000001
5,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=1.00,0.02,0.85,1e-08,1000,100,True,1.0,34,50,0.13496838129191072,0.05153771578489298,0.0733268273943727,0.3235294117647059,0.4411764705882353,0.5588235294117647,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.13896405458928585,1.0000000000000002,99.92,0.9992,39.64,0.10122524754000033
6,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.30,0.02,0.85,1e-08,1000,100,True,0.3,34,50,0.12116119174942704,0.04705903957634062,0.06673468791595441,0.14705882352941177,0.29411764705882354,0.4117647058823529,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.025111370164139314,0.21899626622336676,99.9,0.9990000000000001,39.64,0.09932659662000011
